ID,category,file_name,location,include,archive_date,destroy_date,owner,notes
48,Capital Projects,Eden Road Pump Station Upgrade - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
49,Capital Projects,Data Conversion - Arro Consultation - Swarr Run & Honeysuckle Lane,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
50,Capital Projects,Conestoga Creek Siphon Replacement - Bulldog Construction Company,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
51,Capital Projects,Conestoga Creek Siphon Replacement - Arro Consulting,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
52,Capital Projects,Charlestown Pump Station - Surge Tanks,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
53,Capital Projects,Centrifuge Installation - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
54,Capital Projects,Centrifuge Installation - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
55,Capital Projects,Centrifuge Bulding Structure Evaluation - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
56,Capital Projects,Capital Improvement Plan for Manheim Township Sewer System,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
57,Capital Projects,B N R Study - Additional Correspondence,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
58,Capital Projects,B N R Study,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
59,Capital Projects,GIS Update - MTWP As-builts - Arro Consulting,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
60,Capital Projects,GIS Updates,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
61,Capital Projects,General Permit Land Application of Sludge,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
62,Capital Projects,"Flow Meter Evaluation - Buchart Horn, Inc.","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
63,Capital Projects,"Farmdale Pump Station Improvements - TAH Construcation, Inc.","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
64,Capital Projects,Farmdale Pump Station Improvements - KSC ELectrical Contractors,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
65,Capital Projects,Farmdale Pump Station Improvements - Resident Project Representative - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
66,Capital Projects,Farmdale Pump Station Improvements - Construction Mgmt. Services - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
67,Capital Projects,"Farmdale Pump Station Upgrade and Expansion - Rummel, Klepper & Kahl","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
68,Capital Projects,Project 4743.00 Farmdale Pump Station Study & Evaluation,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
69,Capital Projects,Farmdale Pump Station Study & Evaluation,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
70,Capital Projects,Headworks - C E T,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
71,Capital Projects,Headworks Construction - Electrical - Garden Spot Electric,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
72,Capital Projects,Headworks Construction - HVAC - Garden Spot Electric,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
73,Capital Projects,"Headworks Construction - General - Howard Robson, Inc.","Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
74,Capital Projects,Headworks Repair & Renovation - Resident Representative Services - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
75,Capital Projects,Headworks Repair & Renovation - Construction Mgmt. Services - Buchart Horn,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
76,Capital Projects,Headworks - Arro Consulting Value Engineering Services,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
77,Capital Projects,Headworks - Buchart Horn Value Engineering Services,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
78,Capital Projects,Treatment Plant Study - Headworks - CET Engineering,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
79,Capital Projects,Headworks Site Paving - Pflumm Contractors,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
80,Capital Projects,Headworks - Hyder Design Engineering,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
81,Capital Projects,Hamlet of Blue Rock Wetwell Relining - Terre Hill Composites,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
82,Capital Projects,Growing Greener Grant Program,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
83,Capital Projects,Graham Property - 2229 River Rd.,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
84,Capital Projects,Good&#039s Dairy Interceptor,"Admin Building,General Office Area 022,Capital Projects ,1",,1-Jan-80,1-Jan-80,Book Keeper,
85,Capital Projects,Manor Ridge Sewer Relocation Project - D.H. Funk & Sons,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
86,Capital Projects,Manhole Cover Adjustments - Pflumm Contractors,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
87,Capital Projects,Manheim Township Sewer Aquisition - Phase I - Environmental Assest.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
88,Capital Projects,Manheim Twp. Sewer Aquisition - Phase II,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
89,Capital Projects,NPDES Permit Renewal,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
90,Capital Projects,Manheim Township Sale of Sewer System,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
91,Capital Projects,Little Conestoga Watershed Alliance,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
92,Capital Projects,LIttle Conestoga Creek Interceptor Rehab & Repair - Rettew Associates,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
93,Capital Projects,Little Conestoga Creek Interceptor Rehab & Repair,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
94,Capital Projects,"Lateral Repairs - MT Jet Vac Services, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
95,Capital Projects,Headworks Bid Correspondence,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
96,Capital Projects,"Plant Aeration System Upgrade - PSI Pumping Solutions, Inc","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
97,Capital Projects,Plant Aeration System Upgrade - Heisey Mechanical,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
98,Capital Projects,Plant Aeration System Upgrade - RK&K,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
99,Capital Projects,Pleasure Road P.S. Upgrade - RK&K,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
100,Capital Projects,Pleasure Rd Pump Station Upgrade - Robert P. Lepley Electrical,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
101,Capital Projects,Pleasure Rd. Pump Station Upgrade - Johnston Construction Co.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
102,Capital Projects,Pleasure Rd. Pump Station Upgrade - Heisey Mechanical LTD,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
103,Capital Projects,MISC. Information & Invs. - 2004-2005 Office Expansion,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
104,Capital Projects,2004 - 2005 Office Expansion HVAC Contract - Williams Service Co.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
105,Capital Projects,2004-2005 Office Expansion - Electrical Contract - Monacacy Valley Electric,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
106,Capital Projects,"Office Expansion - 2004-2005 Powell - Harpstead, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
107,Capital Projects,Office Expansion 2004-2005 - David Miller Assocs.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
108,Capital Projects,Office Expansion 2004-2005 - General Contractor - MCA Construction,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
109,Capital Projects,"Office Expansion 2004-2005 - Plumbing Contractor - Leo Cob Company, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
110,Capital Projects,Office Expansion 2004-2005 - Greenfield Architects Ltd.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
111,Capital Projects,"New Office Maintainence Bldg. - Althouse, Martin & Assocs. Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
112,Capital Projects,"General Permit For Biosolids - Material Matters, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
113,Capital Projects,"Sewer Rehabilitation Contract #2 - Mr. Rehab, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
114,Capital Projects,"Sewer LIne Rehabilitation - Pflumm Contractors, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
115,Capital Projects,Sewer Rehabilitation Contract #1 - D.H. Funk & Sons Excavated Sewer Rehab,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
116,Capital Projects,Sewer Line Rehabilitation - Trenchless Rehab. Services,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
117,Capital Projects,Sewer Consulting - Gannett Fleming,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
118,Capital Projects,"Sewer Corrosion Control Program - Bowker & Assocs., Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
119,Capital Projects,Sanitary Sewer Atlas - Arro Consulting,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
120,Capital Projects,Rohrer Road Sewer Feasibility - Manor Brethren in Christ Church,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
121,Capital Projects,Power Reliability Study - RK&K,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
122,Capital Projects,Pollution Prevention / Energy Efficiency Assessment - Arro,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
123,Capital Projects,Operational Cost Optimization Review - Gannett Fleming,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
124,Capital Projects,Building Addition - Feasibility Study - Rettew Assocs.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
125,Capital Projects,"Sludge Holding Tank Replacement - Rummel, Klepper & Kahl","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
126,Capital Projects,Valve Installation Project - Heisey Mechanical Ltd.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
127,Capital Projects,Stream Restoration & Wheaton Property - Rettew Aossicates,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
128,Capital Projects,"Solids Handling Improvements - Contractor - Howard Robson, Inc.","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
129,Capital Projects,Solids Handling Improvements - HAVAC Heisey Mechanical Ltd.,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
130,Capital Projects,Solids Handling Improvements Electrical - State Electrical,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
131,Capital Projects,Sludge Holding Tank Replacement - B & R Electrical,"Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
132,Capital Projects,"Sludge Holding Tank Replacement - Rummel, Klepper & Kahl","Admin Building,General Office Area 022,Capital Projects ,2",,1-Jan-80,1-Jan-80,Book Keeper,
133,Escrow Complete,"D.H. Funk Real Estate, Lot #1 (Continental Drive)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
134,Escrow,"DeGeorge Lot @ 1790 State St., E. Petersburg Borough","Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
135,Escrow,"DeGeorge Lot @ 530 Garden Hill Lane, Manor Twp.","Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
136,Escrow Complete,D.A.D Enterprises Inc. - 1950-54 Fruitville Pk.,"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
137,Escrow Complete,Curtis Welding (MHT),"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Plans",5-Mar-07,1-Jan-80,Adm Asst,
138,Escrow Complete,Crooked Oak Professional Office (MHT),"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Permits, Plans",5-Mar-07,1-Jan-80,Adm Asst,
139,Escrow,"Crill, Norman Lots Subdivision","Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
140,Escrow Complete,3816 Concordia Rd. (Dave Charles),"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Permits",5-Mar-07,1-Jan-80,Adm Asst,
141,Escrow Complete,Community Fellowship Church,"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Plans",5-Mar-07,1-Jan-80,Adm Asst,
142,Escrow,Commerce Bank @ Manheim Pk. & Plaza Blvd. (MHT),"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
143,Escrow Complete,Commerce Bank @ Lowe&#039s/Lincoln Shopping Center,"Admin Building,Vault,Completed & Closed,1","Agreements, Correspondence, Invoices, Plans",5-Mar-07,1-Jan-80,Adm Asst,
144,Escrow,Commerce Bank - Golden Triangle,"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
145,Escrow,Erb Quarry Rd. Subdivision - 3 Lots (MHT),"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
146,Escrow Complete,730 Eden Rd. Office Bldg. (MHT),"Admin Building,Vault,Completed & Closed,3","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
147,Escrow,Eden Rd. Subdivision (MHT),"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
148,Escrow Complete,Eastland Land Develop. - MHT Subdivision,"Admin Building,Vault,Completed & Closed,3","Agreements, Correspondence, Deeds/Titles, Invoices, Permits",23-Mar-09,1-Jan-80,Adm Asst,
149,Escrow,Eagles View Phase IB & II,"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
150,Escrow,Eagles View/Zimmerman Tract - Phase IA,"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
151,Escrow Complete,Diller Tract - E. Hemp. Twp.,"Admin Building,Vault,Completed & Closed,3","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
152,Escrow,Diller Tract - E. Hemp. Twp.,"Admin Building,General Office Area 022,Escrow,2",,1-Jan-80,1-Jan-80,Adm Asst,
153,Escrow Complete,"D.H. Funk & Sons, Excavating - Lot 5 & 6","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
154,Escrow Complete,"Handrail Designs, Inc. - AKA TKSW Associates LP","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
155,Escrow,Habecker Tract,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
156,Escrow,Guthrie Property,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
157,Escrow,Granite Run Corp. Ctr. - Lot 17,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
158,Escrow,Golden Triangle Shopping Center (MHT),"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
159,Escrow,Golden Triangle Residential Development,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
160,Escrow,Fruitville Pk. Tract (MHT) Rt. 30 & Fruitville Pk.,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
161,Escrow,Fruitville Business Park Subdivision (MHT) Lanc. City Bulk,"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
162,Escrow,The Farm on Quarry Rd. (MHT),"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
163,Escrow,Fairway Drive Subdivision (Dave Charles),"Admin Building,General Office Area 022,Escrow,3",,1-Jan-80,1-Jan-80,Adm Asst,
164,Escrow Complete,F & M College Athletic Complex (Kimmel Tract) (MHT),"Admin Building,Vault,Completed & Closed,3","Correspondence, Invoices",19-May-10,1-Jan-80,Adm Asst,
165,Escrow Complete,"Fanelli, Gary @ 12 Druid Cir. (MHT - Stonehedge)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",5-Mar-07,1-Jan-80,Adm Asst,
166,Escrow Complete,Federal Realty @ Lancaster Shopping Center (MHT),"Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices",27-Aug-07,1-Jan-80,Adm Asst,
167,Escrow Complete,"Jung, Gary A. - Lot Subdivision Stonehedge Dr. (MHT)","Admin Building,Vault,Completed & Closed,1","Correspondence, Invoices, Plans",27-Aug-07,1-Jan-80,Adm Asst,
