ID,Category,FileName,Location,Include,Archive_Date,Destroy_Date,Owner,Notes
22,Capital Projects,Charlestown PS Information,"Treatment Plant,Storage Room 211,1012","Correspondence, Deeds/Titles, Rights of way",10/27/2006,01/01/1980,Knepp,"Includes property information about the rights of way and purchase of land
File also include roof warranty information (Roof no longer exists) Folder dates from 1981 to 1997 approx"
23,Capital Projects,Country Manor Pumping Station,"Treatment Plant,Storage Room 211,1012",,10/27/2006,01/01/1980,Knepp,File contains coorespondance and right of way information relating to the Country Manor PS
24,Capital Projects,Modifications to the Susquehanna WPCF and Charlestown Pumping Station,"Treatment Plant,Storage Room 211,1012","Correspondence, Folder, Invoices",10/27/2006,01/01/1980,Fertich,Project Manual
25,Capital Projects,Charlestown PS Chemical Storage Feed System Rogele,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Lehman,Project folder for Rogele and Davis the contractors for this project
26,Capital Projects,Charlestown PS Forcemain Burst,"Treatment Plant,Storage Room 211,1012","Correspondence, Folder, Invoices, Report",10/27/2006,01/01/1980,Knepp,"Folder includes a summary of events dated June 29, 1995"
27,Capital Projects,Charlestown Forcemain Air Valves 4 and & Replacement,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Knepp,"July 6, 1995 letter from Charles Wright at Acer concerning the replacement of Air Valve 4 and 7"
28,Capital Projects,Elizabeth St PS,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Knepp,Folder only includes a copy of a check from LASA to Safeharbor for the purchase of an easement for the E Sreet PS
29,Capital Projects,Equalization Tank Site (Pressure equalization Chamber),"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Knepp,Coorespondnace concerning the acquisition of land for the Pressure Equalization Chamber
30,Capital Projects,Replacement of Farmdale Forcemain and  Route 999 Gravity Sewers,"Treatment Plant,Storage Room 211,1012",Bound Manual,10/27/2006,01/01/1980,Fertich,Huth project manual dated April 1988
31,Capital Projects,Farmdale Forcemain Upgrade,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Lehman,Poject manaul for Muzzuca
32,Capital Projects,Farmdale Forcemain Replacement,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Lehman,Project folder for the FArmdale Forcemain for work that Acer was doing in 1996
33,Capital Projects,Farmdale Forcemain Replacement,"Treatment Plant,Storage Room 211,1012",Folder,10/27/2006,01/01/1980,Lehman,Project folder for work with PSC Engineers
34,Capital Projects,Farmdale Graystone Forcemain Construction Rogele,"Treatment Plant,Storage Room 211,1012","Correspondence, Folder, Invoices",10/27/2006,01/01/1980,Lehman,Project folder with invoices and correspondance for the Farmdale Graystone Forcemain Project with Rogele Contractors
35,Capital Projects,Swarr Run Pumping Station (Wescott Electrical),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Includes invoices and correspondence for the construction of the Swarr Run Pumping Station specific to the Electrical Contract
36,Capital Projects,Swarr Run Pumping Station (Acer Engineering ),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Folder from the Swarr Run PS project specific to the engineering design services with Acer
37,Capital Projects,Swarr Run PumpingStation (Construction Engineer Acer),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Swarr Run Pumping Station construction invoices and correspondance with Acer during the construction
38,Capital Projects,Swarr Run Pumping Station (TAH and GL Marks),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Swarr Run PUmping Station construction with invoices and correspondance associated with the General contractor GL Marks and TAH
39,Capital Projects,Swarr Run Pumping Station Buchart Horn Construction Management,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Swarr Run Pumping Station construction correspondance and invoices with Buchart-Horn
40,Capital Projects,Bubbler Air Diffuser (Assignment to Hyder),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Invoices and correspondence for small study of the aeration system diffuser failures
41,Capital Projects,Railroad Crossing Repair Fridy Street Mountville,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Correspondance and Invoices for the repair of the railroad crossing in Mountville. Engineering by Scot Fertich
42,Capital Projects,GIS Update of the Sewer System,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Invoices and corresponance with Hyder updateing the GIS system in Year 2000
43,Capital Projects,Honeysuckle Lane Rogele Contractor,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Corresponance and invoices associated with the general construction by Rogele for the Honeysuckle Lane sewer project
44,Capital Projects,Honeysuckle Lane Record Plans Arro,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Invoices foran additional assignment for Arro to prepare the As-built drawings for the Honeysuckle Lane project
45,Capital Projects,Honeysuckle Lane Gravity( Hyder),"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Invoices and correspondance for the construction of the gravity portion of the Honeysuckle Lane project with Hyder
46,Capital Projects,Locust Grove - Fullerton Contract 2,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Correspondance and invoices for the Locust Grove PS upgrade with the Electrical Contract Fullerton
47,Capital Projects,Locust Grove PS Upgrade - Ronca,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Correspondance and invoices for the Locust Grove PS upgrade specific to the General Contractor Ronca
48,Development,Honeysuckle Lane PS  Hogan and Johnston Construction,"Treatment Plant,Storage Room 211,1013","Agreements, Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,"Correspondance and invoices concerning the construction of the Honeysuckle Lane PS construction. Contract was with Hogan, Johnston worked for Hogan"
49,Capital Projects,Honeysuckle Lane PS and Forcemain  Acer,"Treatment Plant,Storage Room 211,1013","Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Lehman,Correspondance and invoices for the services projected by Acer Engineers for the design and construction of the Honeysuckle Lane PUmping Station
53,Capital Projects,Appraisal for 1930 Millersville Pike,"Treatment Plant,Storage Room 211,1014","Bound Manual, Correspondence, Folder, Invoices",10/30/2006,01/01/1980,Fertich,"Appraisal by Scott Uhrich dated April 22, 1999"
54,Capital Projects,Stormwater Mangement Report Honeysuckle Lane PS,"Treatment Plant,Storage Room 211,1014","Bound Manual, Report",10/30/2006,01/01/1980,Fertich,Report prepared by Hyder dated December 1999
55,Capital Projects,Honeysuckle Lane PS Construction,"Treatment Plant,Storage Room 211,1014",Plans,10/30/2006,01/01/1980,Fertich,Design drawings
56,Capital Projects,Honeysuckle Lane Collection System Manual,"Treatment Plant,Storage Room 211,1014",Bound Manual,10/30/2006,01/01/1980,Fertich,Project specification for the Honeysuckle Lane Gravity Construction with Rogele
57,Capital Projects,Septage Receiving Station Grit Chamber Evaluation Acer,"Treatment Plant,Storage Room 211,1014","Folder, Invoices, Report",10/30/2006,01/01/1980,Lehman,Acer assignment for Trucked Waste receiving station review
58,Capital Projects,Spill Prevention Plan - Buchart Horn,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Lehman,Invoices and financial related items for a assignment of a spill prevention plan prepared by Buchart-Horn
59,Capital Projects,WPCF Study 2020 Acer,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Lehman,Project assignment to do a study for a 2020 sizing for the treatment plant
60,Land Acquistion,Safe Harbor Parcel at Witmer Barn,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Fertich,Folder for puirchase of Safe Harbor parcel
61,Capital Projects,Route 30  and Orkney Road Crossing Repair GL Marks,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Lehman,Correspondance and invoices for the repair of the sewer crossings for Route 30 and Orkney Road
62,Capital Projects,Rohrer Road Sewer and Manor BIC Church,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Fertich,Correspondance associated with the Rohrer Road sewer project with the Manor Brethren In Christ Church sewer service
63,Capital Projects,Reinbrecht Associates,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Lehman,Buid for autodialers for pumping stations by Reinbrecht
64,Capital Projects,New Administration and Maintenance Buildings,"Treatment Plant,Storage Room 211,1014",Bound Manual,10/30/2006,01/01/1980,Fertich,Project manual for non-technical specicifications Althouse Martin
65,Capital Projects,Final Environmental Assessment for New Administration and Maintenance Building,"Treatment Plant,Storage Room 211,1014",Report,10/30/2006,01/01/1980,Fertich,For the New Administration Building dated April 1993 By Rettew
66,Capital Projects,Stormwater Management Report for New Administration and Maintenance Buildings,"Treatment Plant,Storage Room 211,1014",Report,10/30/2006,01/01/1980,Fertich,"Report by Rettew dated April 21, 1993"
67,Capital Projects,Project Manual for New Administration and Maintenance Building,"Treatment Plant,Storage Room 211,1014",Bound Manual,10/30/2006,01/01/1980,Fertich,Specificaitons dated February 1995
68,Capital Projects,Stormwater Management Report Revised New Administration and Maintenance Building,"Treatment Plant,Storage Room 211,1014",Report,10/30/2006,01/01/1980,Fertich,"Report revised date of Feb 28, 1995"
69,Capital Projects,Manual for Plumbing Fixtures and Equipment,"Treatment Plant,Storage Room 211,1014",Bound Manual,10/30/2006,01/01/1980,Fertich,Operation and Maintenance Manual for plumbing and fixtures for the New Administrati0n Building and Maintenance Building. By Daniel Siegrist Pluming
70,Capital Projects,Heating Ventilation and Air Conditioning,"Treatment Plant,Storage Room 211,1014",Bound Manual,10/30/2006,01/01/1980,Fertich,Operation and Maintenance Manual as described for the New Administration and Maintenance Building project by Mechanical Contractor: Kirchoff Inc.
71,Capital Projects,New Administration and Maintenance Building Folder,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Fertich,John Snyders old working file for this project
72,Capital Projects,Land Development Planing for New Administration and Maintenance Building projects,"Treatment Plant,Storage Room 211,1014",Folder,10/30/2006,01/01/1980,Fertich,Folder with correspondance for the land development planning for the new administration and maintenance building project
73,Capital Projects,Final Land Development Plans for the New Administration and Maintenance Buildings,"Treatment Plant,Storage Room 211,1014",Plans,10/30/2006,01/01/1980,Fertich,Plans dated about 1993
74,Capital Projects,Acer Engineers Contract Cost Additional Considerations,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,New Blower /Chlorination Building Modifications. letter dated Feb 28 1995 asking for an fee increase
75,Capital Projects,Act 339 for FY 1993 Working Papers,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,John Snyder&#039s folder with cost information for the Act 339 applications
76,Capital Projects,Manheim Township Bulk Agreement,"Treatment Plant,Storage Room 211,1015","Agreements, Correspondence, Folder",10/30/2006,01/01/1980,Fertich,Working folder for the renegotiation of capacity for Manheim Township around 1997
77,Capital Projects,Diffuser Bid,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,John Snyders working folder for bidding replacement aeration diffusers 1985
78,Capital Projects,Engineering Proposals for the Wastewater Collection and Conveyance Evaluations project,"Treatment Plant,Storage Room 211,1015",,10/30/2006,01/01/1980,Fertich,"Proposals from Acer, Gannett Fleming dated around 1995"
80,Land Acquistion,Charlestown Forcemain Right of way for Fisher Easement and Funk Easement,"Treatment Plant,Storage Room 211,1015",Rights of way,10/30/2006,01/01/1980,Fertich,John Snyders working folder for the acquistion of easements.
81,Land Acquistion,Charlestown Forcemain Right of way harnish,"Treatment Plant,Storage Room 211,1015",Rights of way,10/30/2006,01/01/1980,Fertich,John Snyder&#039s working folder for teh acquistion of the Harnish Right of way dated abour 1997
82,Land Acquistion,Charlestown Forcemain Right of Way for Binkle,"Treatment Plant,Storage Room 211,1015",Rights of way,10/30/2006,01/01/1980,Fertich,John Snyders working file for the acquistion of the Binkle right of way dated around 1997
83,Capital Projects,Charlestown Forcemain Project,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Request to Allan Myders (Contractor) to exend the the award of the contract
84,Capital Projects,Charlestown Forcemain- Re-Alignment,"Treatment Plant,Storage Room 211,1015","Folder, Rights of way",10/30/2006,01/01/1980,Fertich,"John Snyder&#039s working file for the realignment changes and row issues associated with the Charlestown Forcemain dated around January 10, 1997"
85,Land Acquistion,Charlestown Forcemain Right of Way for Risco,"Treatment Plant,Storage Room 211,1015","Folder, Rights of way",10/30/2006,01/01/1980,Fertich,John Snyder&#039s working file for the right of way for Risco
86,Capital Projects,WPCF and Charlestown Project,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,"John Snyders working folders for the engineering activities associated with the contract ""Modifications to the Susquehanna WPCF and Charlestown Pumping Station"""
88,Pretreatment,Iindustrial Waste Resolution EPA Requirements,"Treatment Plant,Storage Room 211,1015","Correspondence, Folder",10/30/2006,01/01/1980,Fertich,"Correspondance from EPA for the revision and update of the municipal ordinances  Dated November 26, 1996"
89,Pretreatment,Y&S Candies and Kelloggs,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,John Snyders folder with correspondance associated with the lawsuits filed on Kelloggs and Y&S Candies.. dated around August 1993
90,Pretreatment,Kelloggs Permit Application 1995,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Jon Snyder&#039s folder on the application permit for the industrial waste discharge permit dated around 1995
91,Capital Projects,Mahnhole Rehabilitation Public Bid,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Legal correspondnance concerning the award of three contracts. Dated around 1996
92,Capital Projects,Manor Township Collection System INspection Work Plan,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Buchart-Horn work plan for their services to examine the Manor Township sewer system. dated April  1996
93,Land Acquistion,IPI property Acquistion,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Correspondance concerning the purchase of the property as well as some correspondance concerning the purchase of the Wesley Shore property
94,Land Acquistion,"Environmental Assessment of the IPI, Inc. property","Treatment Plant,Storage Room 211,1015","Correspondence, Report",10/30/2006,01/01/1980,Fertich,Environmental Assessment by Acer dated July 1996
95,Capital Projects,Manhole Vacuum Testing and Sewer Rehabilitation,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,John Snyders folders associated with sewer system rehabilitation. Also includes the services agreement with Rettew to prepare standard submersible pump station plans and specifications dated March 1993
96,Capital Projects,Washington Boro Sewer Collection System Design Memorandum,"Treatment Plant,Storage Room 211,1015",Report,10/30/2006,01/01/1980,Fertich,Report dated March 1996
97,Capital Projects,Washington Boro Sewer Design,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,John Snyder&#039s folder for the design and routing of the Washington Boro sewering project
98,Capital Projects,Wetland Delineation Report for Washington Boro,"Treatment Plant,Storage Room 211,1015",Report,10/30/2006,01/01/1980,Fertich,Report by Rettew dated December 1995 for the Washington Boro project
99,Capital Projects,Feasiblity Study for Village of Washington Borough,"Treatment Plant,Storage Room 211,1015","Correspondence, Report",10/30/2006,01/01/1980,Fertich,Report dated September 1989 by Rettew Associates
100,Development,Woods Edge Sanitary Sewer Installation Problems,"Treatment Plant,Storage Room 211,1015",Folder,10/30/2006,01/01/1980,Fertich,Correspondance concerning the sewer vent and cleanout problems at Woods Edge
101,Capital Projects,Belt Filter Press Mahoney,"Treatment Plant,Storage Room 211,1016,",Legal,10/30/2006,01/01/1980,Fertich,"legal correspondance concering legal issues associated with Mahoney installing the belt filter press dated around March 12, 1998"
102,Capital Projects,Belt Filter Press Mahoney Legal Correspondance,"Treatment Plant,Storage Room 211,1016","Bound Manual, Legal",10/30/2006,01/01/1980,Fertich,Bundle of letters and Pleadings between LASA legal and Mahoney about the Belt Filter Press Project
103,Capital Projects,Belt Filter Press Project Clainm of Equitable Adjustment,"Treatment Plant,Storage Room 211,1016","Bound Manual, Legal",10/30/2006,01/01/1980,Fertich,"Bound Booklet from Reager and Adler reqeusting an equitable adjustment for Mahoney. Dated Februray 24, 1997"
104,Capital Projects,Belt Filter Press Legal Pleadings,"Treatment Plant,Storage Room 211,1016",Legal,10/30/2006,01/01/1980,Fertich,Various documents concerning legal disagreements between LASA and Mahoney
105,Capital Projects,Belt Filter Press General Contrac 1 Change Order Requests,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,Change Orders from Mahoney
106,Capital Projects,Treatment Plant Modifications,"Treatment Plant,Storage Room 211,1016","Folder, Plans",10/30/2006,01/01/1980,Fertich,Preliminary information with layouts of control building and land development plans for the treatment plant site
107,Capital Projects,Belt Filter Press Procurement Roediger,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Lehman,Invoices and correspondance associated with the purchase of the Roediger Beltfilter press
108,Capital Projects,Belt Filter Press General Contract Mahoney,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,Invlices and correspondance associated with the Roediger Belt filter press and General Contrac 1
109,Capital Projects,Belt Filter Press Job Progress Meeting Minutes,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,
110,Capital Projects,Belt Filter PRess Job Conference Minutes,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,
111,Capital Projects,Belt Filter Press Procurement Manual,"Treatment Plant,Storage Room 211,1016","Bound Manual, Folder",10/30/2006,01/01/1980,Fertich,Dated February 1995
112,Capital Projects,Belt Filter Press Engineering,"Treatment Plant,Storage Room 211,1016","Folder, Permits",10/30/2006,01/01/1980,Lehman,"Folder dated September 1996
Part II WQM Permit is in this folder"
113,Capital Projects,Repairs to the Process Water Piping System Project Manual,"Treatment Plant,Storage Room 211,1016",Bound Manual,10/30/2006,01/01/1980,Fertich,Project Manual for the Procss Water System- Steckbeck Engineering 1990
114,Capital Projects,Repairs to the Process Water Piping System Project Manual,"Treatment Plant,Storage Room 211,1016",Bound Manual,10/30/2006,01/01/1980,Fertich,Project Manual for the Procss Water System- Steckbeck Engineering 1990
115,Capital Projects,Repair of Process Water Piping System at Effluent Pump House,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,"Folder with correspondance and invoices for construction. Contractor Howard Robson, Engineer Steckbeck"
116,Capital Projects,Belt Filder Press Procurement (Envirodyne),"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Lehman,Invoices and correspondance for the procurement of the 1st belt filter press
117,Capital Projects,First Belt Filter Press Correspondance,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,Correspondance with first belt filter press
118,Capital Projects,Belt Filter Press Prevailing Wage REports,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Fertich,Mahoney
119,Capital Projects,1992 Treament Plant Expansion Project Progress from Steckbeck,"Treatment Plant,Storage Room 211,1016","Folder, Plans",10/30/2006,01/01/1980,Fertich,Progress reports from Steckbeck to the Board. Also includes a plan sheet for the 30 in Forcemain Replacement- Phase 2 (Central Manor Forcemain)
120,Capital Projects,1992 Treatment Plant Expansion Construction Contract for Third Final Clarifier,"Treatment Plant,Storage Room 211,1016",Folder,10/30/2006,01/01/1980,Lehman,Invoices and correspondance for the Conewago Contractors and the construction of the third clairifier
121,Capital Projects,New Belt Filter Press Project Manual,"Treatment Plant,Storage Room 211,1016","Agreements, Bound Manual, Folder",10/30/2006,01/01/1980,Fertich,"Volume II of II Also signed agreements for James Mahoney, Frey Lutz and Garden Spot"
122,Capital Projects,A/O System General Correspondence,"Treatment Plant,Storage Room 211,1016","Agreements, Permits",10/30/2006,01/01/1980,Fertich,"Correspondance with Air Products, Consent Order Agreement with PA DEP"
123,Regulatory,PA DEP Sludge Correspondence,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,"May 1, 1998 letter from PA DEP"
124,Professionals/Vendor,Acer/PSC/Huth General File,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,"General information on from Huth, Acer and PSC dating from around 1978 to 1996"
125,Regulatory,PA DEP Notification of Sludge Spreading Violation,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,File dating  from 1985 concerning sludge disposal at Harrisburg and compliants from neighbors along River Road with spreading sludge on the farm land. The folder also contains letters from PA DEP (PA DEP)
126,General,Accidents Vehicle and Property,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,Information dating from 1994 concerning several vehical accidents
127,Regulatory,PA DER A/O Treatment Plant Consent Agreement Report,"Treatment Plant,Storage Room 211,1017","Correspondence, Legal, Permits, Report",11/02/2006,01/01/1980,Fertich,"Consent Order and Other correspondance with PA DER concerning the operation of teh treatment plant, Includes consent order compliance reports"
128,Regulatory,PA DER (DEP) Correspondence,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,"Correspondance dating from 1974 with general PA DER letters, inspections and regulatory issues"
129,Regulatory,PA DER Act 339 Applications,"Treatment Plant,Storage Room 211,1017",Report,11/02/2006,01/01/1980,Fertich,Applications for reimbursement from Act339 mopnies dating from 1975 to 1988
130,Regulatory,Department of Commerce,"Treatment Plant,Storage Room 211,1017",Correspondence,11/02/2006,01/01/1980,Fertich,Construction progress reports for cenus reporting from 1997
131,Financial,2002 Debt Service Reserve Repo Agreement,"Treatment Plant,Storage Room 211,1017","Agreements, Correspondence, Report",11/02/2006,01/01/1980,Lehman,Guaranteed Investment Contract with MBIA  dating around 2002
132,Capital Projects,Right of way Complaints for Washington Boro Sewer Project,"Treatment Plant,Storage Room 211,,","Correspondence, Folder",11/02/2006,01/01/1980,Fertich,Washington Boro complaints dating around 2000
133,Regulatory,Dept of Labor and Industry,"Treatment Plant,Storage Room 211,,","Correspondence, Legal, Report",11/02/2006,01/01/1980,Fertich,Notice of Violation for the treatment plant elevator
134,Regulatory,East Hempfield - LASA Administration and Maintenance Building,"Treatment Plant,Storage Room 211,,","Correspondence, Folder",11/02/2006,01/01/1980,Fertich,Land Development information and correspondence with East Hempfield Township permits and zoning and planning
135,General,UniformWizard Proposal,"Treatment Plant,Storage Room 211,,",Correspondence,11/02/2006,01/01/1980,Fertich,Uniform proposal dating from July 2002
136,Capital Projects,NPDES Pert II Permit Application Charlestown and Treatment Plant Projects,"Treatment Plant,Storage Room 211,,","Bound Manual, Correspondence, Report",11/02/2006,01/01/1980,Fertich,File includes correspondnance with PADEP conerning the Part II permit and It also concerns the Part II Application Manual
137,Capital Projects,Charlestown Pumping Station Wescott,"Treatment Plant,Storage Room 211,,",Plans,11/02/2006,01/01/1980,Fertich,Misc information
138,General,Board Resolutions and Agreements Originals,"Treatment Plant,Storage Room 211,,","Legal, Report",11/02/2006,01/01/1980,Fertich,"Wroking copies of resoliutions and some originals. (Not all original)
dating from 1974 to 1987"
139,General,Board Resolutions (Original) dating 1989 to 1991,"Treatment Plant,Storage Room 211,,","Agreements, Correspondence, Legal",11/02/2006,01/01/1980,Fertich,Board Resolutions. Not all originals
140,Capital Projects,Board Resolutions dating from 1968 to 1972,"Treatment Plant,Storage Room 211,,","Correspondence, Legal, Report",11/02/2006,01/01/1980,Fertich,not all originals - some are marked up in pencil
141,Capital Projects,Unsuccessfule Bidders,"Treatment Plant,Storage Room 211,,",Correspondence,11/02/2006,01/01/1980,Fertich,dating from 1991 to 1999
142,Regulatory,PA DER Chapter 94 Reports,"Treatment Plant,Storage Room 211,,","Bound Manual, Correspondence, Report",11/02/2006,01/01/1980,Fertich,Chapter 94 reports from 1981 to 1986
143,General,Board Meeting Agenda,"Treatment Plant,Storage Room 211,,",Correspondence,11/02/2006,01/01/1980,Fertich,Board meeting agendas dating from 1988 to 1995
144,Regulatory,PA DER Sludge Reports,"Treatment Plant,Storage Room 211,,","Correspondence, Report",11/02/2006,01/01/1980,Fertich,Sludge reports daing from 1983 to 1996
145,General,Board Meeting Minutes 1995,"Treatment Plant,Storage Room 211,,",Correspondence,11/02/2006,01/01/1980,Fertich,
146,Capital Projects,Bid Documents 1990 to 1997,"Treatment Plant,Storage Room 211,,",Correspondence,11/02/2006,01/01/1980,Fertich,
