PID, Project, Res_Type, Res_Amount, User_Type, Treatment_Location, Phase, Contact_To, Notes, Escrow_Refund, Project_Complete, PumpStation, Utility, D_Contact, E_Contact, Required, OpenDate, EscrowFile, LastUpdate, Status, GISID, E_Name, D_Name, Municipality
"95","Kissel Hill Commons - LOT #287 - Commercial","GPD","714","C","N/A","Closeout","Developer","Application for connection was submitted 8/1/06 along w/plans to review, along w/$1,225 escrow for the reviews. This is a mixed use lot. 

The permits for Lot 287 are already processed under the Kissel Hill Phase 3-Final Plan project because they were paid for before the application for connection and plans were submitted. 
Permit #31393 is Residential for 11 IDU&#039s @ $2,000 ea = $22,000
Permit #31394 is Commercial for 714 GPD @8.40 gpd = $5,997.60
Inspections will be charged out of Escrow funds.
Copies of permits are in escrow folder.

Comments by:Melissa Paules 8/8/2006 11:23:31 AM
-----------------------------------------------------------
*****UPDATE*****

PERMIT #31394 WAS VOIDED AND 
PERMIT #31393 WAS ADJUSTED TO REFLECT BOTH COMMERCIAL AND RESIDENTIAL USE.

THE LATERAL IS SHARED FOR:
COMMERCIAL ACCOUNT #079495 AND RESIDENTIAL ACCOUNT #274040 AND
PERMIT #31393

THE ACCOUNTS WERE NEVER PUT ON BILLING AND FOUND IN CUSTOMER SERVICE FILE DRAWER 11/19/08.  PERMIT #31394 WAS VOIDED AND THE USE WAS TRANSFERRED ONTO PERMIT #31393 ALONG WITH THE COMMERCIAL ACCOUNT NUMBER, PER KATHY&#039S REQUEST AS PER BO. 

Comments by:Melissa Paules 11/21/2008 2:57:46 PM
------------------------------------------------------------",,,"35","4","Dennis D. Herr","Greg Strausser","Reservation Required, Development Review Fee, Final Plan Approval, Escrow Refunded, Project Complete & Closed","2006-08-02","06552","2011-08-11","Open","3909562400000","Strausser Surveying & Engineering, Inc.","Dennis D. Herr","MANHEIM TOWNSHIP"
"96","Triple H Construction","GPD","350","C","LASA","Closeout","Engineer","There is a permit and account on Billing for 141 Koser Rd., Lititz, PA. and Triple H Realty LP is listed as the owner.
Permit #29195, Account #079402, Commercial account with comments. Copies of this information and the comment screen as of 7/10/06 are in this escrow folder.

Comments by:Melissa Paules 8/9/2006 12:18:34 PM
------------------------------------------------------------
We will consider the existing permit will service as the reservation for this project.
Comments by:Scot Fertich 8/14/2006 9:52:55 AM
------------------------------------------------------------
Comments by:Melissa Paules 8/15/2006 10:47:07 AM
------------------------------------------------------------
Plans given to Scot for review
Comments by:Melissa Paules 9/5/2006 9:20:29 AM
------------------------------------------------------------
Sent plan review approval letter with other requirements.
Comments by:Melissa Paules 10/17/2006 2:34:09 PM
------------------------------------------------------------",,,"7","4",,"Don Barrett","Reservation Required, Financial Security Required, Development Review Fee, Final Plan Approval, Road Opening Permit, Indemnification Needed, Escrow Refunded, Project Complete & Closed","2006-08-09","06553","2014-06-05","Open","3909631700000","Rettew Associates, Inc.","Triple H Construction","MANHEIM TOWNSHIP"
"97","Manor Oaks Phase 1,2,3 and 3A","IDU","0","R","LASA","Closeout","Engineer","MOW reviewed as-builts and is requesting mylars and digital from Doug Matthews.
Comments by:Scot Fertich 8/10/2006 7:51:22 AM
------------------------------------------------------------",,,"25","4","Dyric Snyder- Meridian Management","Doug Matthews",,"2006-08-10",,"2007-10-03","Open","4108173000000","David Miller Associates, Inc.","Cornerstone Develpment Group","MANOR TOWNSHIP"
"98","Veranda Phase 1","IDU","14","R","Lancaster City","Closeout","Developer","This project was only made in the PDM to track the remaining 14 IDU&#039s that are remaining from Veranda Phase I. 

The Construction Permit was issued for a total of 86 IDU&#039s and as of 8/11/06, 72 of those have been used. (All Residential).

Comments by:Melissa Paules 8/11/2006 3:01:52 PM
------------------------------------------------------------
VERANDA PHASE 1 
CONSISTS OF:  86 LOTS
#1 - 43
#51 - 61
#91 - 109
#114 - 126
ALL PHASE 1 PERMITS ARE NOW TRANSFERRED INTO THIS PROJECT&#039S DATA

Comments by:Melissa Paules 4/4/2007 12:00:03 PM
------------------------------------------------------------",,,"31","4","Deb Witwer","Mark E. Allen","Builder&#039s Agreement, Development Review Fee, Final Plan Approval, Road Opening Permit, Planning Module Approved, Approved Construction Permit, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-08-11","02279","2013-03-26","Open","2900972400000","Alpha Consulting Engineers, Inc.","Hempfield Valley Partnership c/o Charter Homes","EAST HEMPFIELD TOWNSHIP"
"100","Pappas-2 lots (Dorsea Rd & Springvalley Rd)","IDU","2","R","LASA","Approval","Developer","Created project folder & will forward to Fran to deposit $
Rec&#039d $250 for capacity review & 2 checks @ $100 ea. for capacity reserve for the two lots.
Comments by:Melissa Paules 8/25/2006 1:48:27 PM
------------------------------------------------------------",,,"31","2","James Pappas",,"Reservation Required, Road Opening Permit, Indemnification Needed","2006-08-25","06554","2013-08-05","Open","2907708200000","N/A","James Pappas","EAST HEMPFIELD TOWNSHIP"
"101","NGUYEN  Lot @ 1750 Sammar Rd","IDU","1","R","N/A","Closeout","Developer","Rec&#039d $225 capacity review w/application. Will forward to Fran for deposit and then to Scot for review and remarks.
Comments by:Melissa Paules 8/25/2006 2:21:26 PM
------------------------------------------------------------
Road opening permit not needed as per Merv Miller. He said he spoke with Andrew Boman at Manheim Twp. and he told him the road opening permit is not necessary. Scot said this is ok.

Comments by:Melissa Paules 9/6/2006 2:31:04 PM
------------------------------------------------------------

Comments by:Melissa Paules 9/6/2006 2:32:33 PM
------------------------------------------------------------",,,"37","4","Merv Miller",,"Reservation Required, Road Opening Permit, Indemnification Needed, Escrow Refunded, Project Complete & Closed","2006-08-25","06555","2012-08-31","Open","3900713700000","N/A","Merv Miller Builder","MANHEIM TOWNSHIP"
"102","1896 Millersville Rd Subdivision","IDU","10","R","LASA","Approval","Engineer","Rec&#039d capacity request w/$225, will forward to Fran for deposit then to Scot for review and comments. 
NOTE: There is an existing permit connection on this property. Permit #17368, Account #061225 for 1 EDU.  (Copies of permit & bill info in escrow folder.)

Comments by:Melissa Paules 8/25/2006 2:37:23 PM
------------------------------------------------------------
I emailed the capacity reservation application to Todd Vaughn to complete because we received the capacity reservation funds w/out the application.

Comments by:Melissa Paules 9/13/2006 9:42:54 AM
------------------------------------------------------------
Sent approved capacity reserve application to David Miller/ Associates, attention Todd Vaughn

Comments by:Melissa Paules 9/18/2006 12:06:45 PM
------------------------------------------------------------
We received an email from Todd Vaughan at David Miller concerning the review of plans that were submitted in September 18, 2006. We did not review them at this point. It fell through the cracks. We were not asked to review they just assumed because the design review money was submitted.

Comments by:Scot Fertich 1/4/2007 1:45:56 PM
------------------------------------------------------------
Received revised drawings. Given to MOW
Comments by:Scot Fertich 1/23/2007 7:52:40 AM
------------------------------------------------------------

LANCASTER TWP HAS THE FINANCIAL SECURITY

Comments by:Melissa Paules 3/12/2007 1:51:43 PM
------------------------------------------------------------
08/13/08  Sent letter of Notice of Capacity Reservation Expiration 
                 Expiration Date is 09/13/08, 10 IDU&#039s

Comments by:Melissa Paules 8/13/2008 1:36:34 PM
------------------------------------------------------------
08/28/08  Check #1433 for Capacity Reservation Renewal $1,000.00
Comments by:Melissa Paules 8/28/2008 4:17:48 PM
------------------------------------------------------------
08/20/09  Sent letter of Notice of Capacity Reservation Expiration 
                 Expiration Date is 09/13/09, 10 IDU&#039s

Comments by:Melissa Paules 8/20/2009 10:25:05 AM
------------------------------------------------------------",,,"32","4",,"Todd Vaughn","Reservation Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Road Opening Permit, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed","2006-08-25","06556","2012-08-31","Open","3400157700000","David Miller Associates, Inc.","Shepherd Family Ltd Partnership","LANCASTER TOWNSHIP"
"103","Fanelli, Gary - 12 Druid Circle lot","IDU","1","R","LASA","Closeout","Developer","Rec&#039d connection application w/$225 capacity review escrow. Will forward to Fran and then to Scot for review. 
Comments by:Melissa Paules 9/5/2006 11:24:13 AM
------------------------------------------------------------",,,"7","4","Kevin Fanelli",,"Reservation Required","2006-09-05","06557","2009-09-22","Open","3900534100000","N/A","L & K Construction Inc.","MANHEIM TOWNSHIP"
"104","Murry South Centerville Road Walmart","GPD","2000","C","LASA","Plan Review","Engineer","Received a letter about the extension of sewer reservation. We responded that they need to pay the reservation fee.
Comments by:Scot Fertich 9/12/2006 10:09:31 AM
------------------------------------------------------------
Walmart is reducing the size of its store. They have reduced the amount of needed capacity. I have asked Yong Ho to submit #1,000 plus more plans.
Comments by:Scot Fertich 1/15/2007 11:28:30 AM
------------------------------------------------------------
Rec&#039d $1000 escrow check w/plan set.

Comments by:Melissa Paules 1/16/2007 11:27:26 AM
------------------------------------------------------------
Plans given to MOW to review. Consider this a new project because of Walmarts reduced building size
Comments by:Scot Fertich 1/25/2007 11:11:24 AM
------------------------------------------------------------
Sent a Notice of Capacity Reservation Expiration letter. Expiration date is December 5, 2007.
Comments by:Melissa Paules 10/17/2007 9:02:35 AM
------------------------------------------------------------
Rec&#039d renewal of Capacity Reservation
Comments by:Melissa Paules 11/27/2007 1:53:42 PM
------------------------------------------------------------
Sent a Notice of Capacity Reservation Expiration letter.
2,000 gpd @ $0.42 = $840.00
Expiration date is December 5, 2008.


Comments by:Melissa Paules 11/4/2008 2:57:43 PM
------------------------------------------------------------
Rec&#039d renewal of Capacity Reservation
Updated Expiration Date = 12/05/09


Comments by:Melissa Paules 12/16/2008 10:29:41 AM
------------------------------------------------------------",,,"7","4","Robbie Estes","Chad Mackey","Reservation Required, Financial Security Required, Development Review Fee, Final Plan Approval, Planning Module Approved, PA DEP Approvals, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-09-12","02307","2009-09-22","Open","4107224700000","CEI Engineering Associates, Inc.","Wal-Mart Realty Company","MANOR TOWNSHIP"
"105","Church of Jesus Christ of Latter-Day Saints","IDU","1","R","LASA","Closeout","Engineer","Rec&#039d $225 escrow and connection application. Will forward to Fran to deposit $ and then to Scot for reveiw and to finish marking details of project.

Comments by:Melissa Paules 9/13/2006 12:22:23 PM
------------------------------------------------------------
Rec&#039d $1000 plan review escrow and 2 plans sets. Will forward $ to M. Lehman to deposit and plans to Scot.

Comments by:Melissa Paules 10/6/2006 2:48:08 PM
------------------------------------------------------------

Comments by:Melissa Paules 10/6/2006 2:48:26 PM
------------------------------------------------------------
Reviewed plans but capacity has not been reserved as of yet. I called Paul at Liberty and left message that he needed to address reservation. Plan review is on hold
Comments by:Scot Fertich 10/13/2006 9:18:41 AM
------------------------------------------------------------",,,"31","4","John Forsberg","Paul A. Szewczak","Reservation Required, Financial Security Required, Development Review Fee, Approved Contractor, Final Plan Approval, Shop Drawing Approval, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-09-13","06558","2012-08-31","Open",,"Liberty Engineering, Inc.","Church of Jesus Christ of Latter-Day Saints","EAST HEMPFIELD TOWNSHIP"
"106","Brod, Roy lot @70 Valley Rd.","IDU","1","R","Lancaster City","Closeout","Engineer","Greg Strausser dropped off connection application w/$225 review escrow plus $1,000 plan review, plus another $100 applied to add&#039l escrow funds.  (All on one check).

Set up escrow folder and will forward to Fran to deposit $ and then forward to Scot for review.

Comments by:Melissa Paules 9/13/2006 3:46:55 PM
------------------------------------------------------------
At the request of Greg Strauser. They would like a fast turnaround on this project. 

The plans have been reviewed. We do not normally review plans for a sewer lateral to a residence. But since Strausser prepared the plans and we reviewed it.


Comments by:Scot Fertich 9/25/2006 8:26:31 AM
------------------------------------------------------------",,,"37","6",,"Greg Strausser","Development Review Fee, Final Plan Approval, Road Opening Permit, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-09-13","06559","2010-05-17","Open","3905898300000","Strausser Surveying & Engineering, Inc.","N/A","MANHEIM TOWNSHIP"
"107","Severn Tract","IDU","4","R","LASA","Closeout","Developer","Received the contractor cut sheets. Called and left message for Dave Pusey requesting the revised sewer drawings before we release any financial security
Comments by:Scot Fertich 9/18/2006 1:16:43 PM
------------------------------------------------------------
Released $6,315.50 of Financial Security, will hold 15% = $1,114.50 for the 18-month warranty period.

Comments by:Melissa Paules 4/5/2007 11:53:14 AM
------------------------------------------------------------",,,"7","3","David Pusey","Carrol F. Ehrhart RLA","Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Road Opening Permit, Planning Module Approved, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Escrow Refunded, Project Complete & Closed","2006-09-18","05465","2014-06-05","Open","2200697600000","Diehm & Sons, Inc.","Pusey and Raffelsberger","EAST PETERSBURG BOROUGH"
"108","Parkfield - Phase 2","IDU","76","R","LASA","Closeout","Engineer","Capacity request was included in the submittal for Parkfield Phase I and approved for a total of 185 IDU&#039s. This includes Parkfield Phase I @ 54 IDU, Parkefield Phase II @ 76 IDU and Parkfield Phase III @ 55 IDU.

In Parkfield Phase I, Construction Permit #0173 was issued for a total of 185 IDU&#039s.
However, the Builders Agreement was just for Phase I of Parkfield.

Comments by:Melissa Paules 9/26/2006 12:20:39 PM
------------------------------------------------------------
(NOTE -  IN FURTHER RESEARCH TODAY IT LOOKS LIKE PARKFIELD PHASE 2 IS SHOWING 74 LOTS/IDU AND NOT 76.)
I WILL OPEN 74 PERMITS TODAY FOR PARKFIELD PHASE 2.

Comments by:Melissa Paules 9/26/2006 3:23:34 PM
------------------------------------------------------------
Rec&#039d $3500. escrow funds w/submittals and $100 w/construction application. Will forward to Fran to deposit then to Scot for review & comment.

Comments by:Melissa Paules 11/6/2006 2:06:10 PM
------------------------------------------------------------
Shop drawings received and given to MOW to review
Comments by:Scot Fertich 11/20/2006 10:01:05 AM
------------------------------------------------------------
Received two sets of drawings. Will need one more set
Comments by:Scot Fertich 11/22/2006 11:36:43 AM
------------------------------------------------------------
We received two additional sets of drawings. We also received all the outstanding rights of way
Comments by:Scot Fertich 12/5/2006 9:16:37 AM
------------------------------------------------------------
Received a construction estimate based on a quote from Miller Warner. The cost is significantly lower than I estimate. I responded by fax to Al Olah requesting clarification.
Comments by:Scot Fertich 12/5/2006 9:47:02 AM
------------------------------------------------------------
Right of way for Phase II has been recorded
Comments by:Scot Fertich 1/2/2007 10:32:40 AM
------------------------------------------------------------
Received letter of credit. Recommended approval of builders agreement
Comments by:Scot Fertich 1/17/2007 1:01:13 PM
------------------------------------------------------------
Received the missing indemnification agreement
Comments by:Scot Fertich 1/29/2007 11:24:12 AM
------------------------------------------------------------
Received Cut Sheets today

Comments by:Melissa Paules 9/21/2007 9:29:37 AM
------------------------------------------------------------
Reviewed the preliminary as built today. No lateral data was provided. Called Al Olah, he will see that we get it.
Comments by:Mike Williams 4/8/2008 12:08:56 PM
------------------------------------------------------------

Comments by:Mike Williams 4/8/2008 12:09:30 PM
------------------------------------------------------------",,,"2","1","Glen Esbenshade","Al Olah","Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Road Opening Permit, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, Escrow Refunded, As Builts, Project Complete & Closed","2006-09-26","06522","2014-06-05","Open","4108383300000","Rettew Associates, Inc.","Fieldcrest Associates","MANOR TOWNSHIP"
"109","Bethel Commons","IDU","16","R","LASA","Closeout","Engineer","Rec&#039d Application for Connection w/$225 escrow for capacity review. Will forward to Fran to deposit and then to Scot for review and comment.

Comments by:Melissa Paules 9/27/2006 11:25:06 AM
------------------------------------------------------------
Sent letter regarding capacity request w/next steps

Comments by:Melissa Paules 10/17/2006 3:19:36 PM
------------------------------------------------------------
Received letter dated November 22, 2006 stating that the owner has retracted on their desire to have a low pressure grinder pump system. The owner will now propose a gravity discharge with first floor elevations extended to accomodate the flow.
Comments by:Scot Fertich 11/30/2006 8:03:39 AM
------------------------------------------------------------
Received plans for review.
Comments by:Scot Fertich 12/11/2006 7:54:58 AM
------------------------------------------------------------
Reviewed cost opinion and asked for some revisions
Comments by:Scot Fertich 1/25/2007 11:06:01 AM
------------------------------------------------------------
Received a revised cost estimate. I responded with an approval along with our list of outstanding items that need submitted before Board Approval
Comments by:Scot Fertich 2/12/2007 3:14:28 PM
------------------------------------------------------------
As on this moment, we need to the financial security, and recorded rights of way
Comments by:Scot Fertich 3/12/2007 8:33:00 AM
------------------------------------------------------------
We still need the financial security. Left email for Kim Proud. Dave Christian needs an unconditional approval letter yet. I am not issuing this until the Financial Security is released. Its been two weeks since the board meeting. 
Comments by:Scot Fertich 4/4/2007 1:59:10 PM
------------------------------------------------------------",,,"7","2","Greg Bardell","David B Christian","Reservation Required, Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Rights of Way Received, Shop Drawing Approval, Indemnification Needed, Final Inspection, Deed of Dedication, As Builts, Project Complete & Closed","2006-09-27","06560","2014-06-05","Open","2909707600000","David Christian and Associates, Inc.","Longleaf Corporation","EAST HEMPFIELD TOWNSHIP"
"110","3050 Yellow Goose Rd - Office","GPD","0","C","LASA","Closeout","Engineer","Rec&#039d Application for Connection w/$225 review escrow and $1000 plan review escrow. Will forward to Fran to deposit and then to Scot for review and comment.

Comments by:Melissa Paules 9/27/2006 2:09:06 PM
------------------------------------------------------------
Sent plan review letter w/comments
Comments by:Melissa Paules 10/17/2006 2:37:56 PM
------------------------------------------------------------
*****LET US KNOW AS PER SCOT*****
***** NOTE TO SMITTY*****            
SMITTY - NEED TO CALL LASA AT EXTENSION 5 WHEN CONVERTED TO COMMERCIAL WITH METER & REMOTE LOCATION.

Comments by:Melissa Paules 10/17/2006 2:43:03 PM
------------------------------------------------------------
Rec&#039d $200 escrow for inspections and cost estimate. Will forward to Fran to deposit $, then to Scot for review and comment of cost estimate.

Comments by:Melissa Paules 11/1/2006 11:54:36 AM
------------------------------------------------------------
Ok to close- SAF
Comments by:Scot Fertich 1/31/2007 10:55:37 AM
------------------------------------------------------------",,,"34","2","Thomas C Kile","John R Weese","Financial Security Required, Development Review Fee, Final Plan Approval","2006-09-27","06561","2009-09-21","Open","2900913700000","Rettew Associates, Inc.","Centerville Associates Ltd","EAST HEMPFIELD TOWNSHIP"
"111","Hempfield Crossing Phase 1 (formerly Wissler Tract","IDU","22","R","LASA","Construction","Engineer","Rec&#039d Application for Connection w/$225 escrow. Will forward to M. Lehman to deposit & then to Scot for review.

Comments by:Melissa Paules 10/5/2006 4:09:50 PM
------------------------------------------------------------
Sent letter regarding capacity request w/next steps.
Comments by:Melissa Paules 10/17/2006 3:04:16 PM
------------------------------------------------------------

Comments by:Melissa Paules 10/17/2006 3:20:27 PM
------------------------------------------------------------
Received the polanning module for signauture. We can not respond until the capaicty is reserved.
Comments by:Scot Fertich 10/19/2006 2:24:55 PM
------------------------------------------------------------
Rec&#039d capacity reserve fee & plan review escrow. Forward to Fran to deposit $, then to Scot for review.

Comments by:Melissa Paules 2/16/2007 11:30:07 AM
------------------------------------------------------------
Asked for a complete set of review drawings. Plans that we were given only include profiles and do not include any plan views.

Also asked if they would be submitting a fresh planning module application
Comments by:Scot Fertich 3/2/2007 11:01:55 AM
------------------------------------------------------------
Moments after I wrote the comments above, I found a fresh planning module application. Julianne will need to revise the flow projections.
Comments by:Scot Fertich 3/2/2007 11:19:11 AM
------------------------------------------------------------
Sent Notice of Capacity Reservation Expiration. Expiration Date is 02/15/08
81 IDUS.

Comments by:Melissa Paules 1/14/2008 12:23:20 PM
------------------------------------------------------------

Comments by:Melissa Paules 1/14/2008 12:24:15 PM
------------------------------------------------------------
Rec&#039d Capacity Reservation renewal 1/31/08 for 81 IDU&#039s.
Check #100 $8,100.00

THE 81 IDU&#039S ARE FOR THE  WHOLE PROJECT.
THIS PROJECT FILE IS FOR PHASE 1 @ 22 IDU&#039s,
as per Scot.
Will make a PDM project for Hempfield Crossing Phase 2, to carry the other 59 IDU&#039s

Comments by:Melissa Paules 1/31/2008 3:44:29 PM
------------------------------------------------------------

Comments by:Melissa Paules 1/31/2008 3:45:25 PM
------------------------------------------------------------

Comments by:Melissa Paules 2/1/2008 11:48:48 AM
------------------------------------------------------------
Put sheet WA14-29A1 on Construction ""B""
Comments by:Mike Williams 2/25/2008 12:17:55 PM
------------------------------------------------------------
*****NOTE*****
2 BUILDINGS ON THE PROPERTY WERE DEMOLISHED AND SEWERS WERE CAPPED. 
PERMIT #631 - 2 UNIT BUILDING (2 TAPS)
PERMIT #8276 - 1 UNIT BUILDING (1 TAP)
Therefore: 
AS PROJECT PERMITS ARE REQUESTED, THESE OLD PERMITS WILL BE VOIDED AND THE 3 (TAPS) IDU&#039S WILL BE TRANSFERRED TO NEW PERMITS FOR THIS PROJECT.
Comments by:Melissa Paules 3/14/2008 8:55:13 AM
------------------------------------------------------------

Comments by:Melissa Paules 4/14/2008 12:25:35 PM
------------------------------------------------------------
Should they be paying for 22 reserved idu&#039s or 19 idu&#039s since they are paying the sewer rental fees to keep capacity reserved for the above capped sewers?

Comments by:Melissa Paules 4/14/2008 12:27:33 PM
------------------------------------------------------------
Sent Notice of Capacity Reservation Expiration
Phase 1 @ 15 IDU&#039s  and  Phase 2 @ 59 IDU&#039s
TOTAL OF  74 IDU&#039s @ $100 = $7,400.00  Expire Date is 02/15/09.


Comments by:Melissa Paules 2/3/2009 10:58:03 AM
------------------------------------------------------------
Paid $7,400.00 Ck #198 for total of 74 IDU&#039s
Capacity Reservation Renewal
Phase 1 @ 15 IDU&#039s  and  Phase 2 @ 59 IDU&#039

Comments by:Melissa Paules 2/11/2009 2:47:29 PM
-----------------------------------------------------",,,"31","2","Brent O Stoltzfus","Julianne Stile","Reservation Required, Financial Security Required, Builder&#039s Agreement, Development Review Fee, Approved Contractor, Final Plan Approval, Planning Module Approved, ACT 14 Notification, PA DEP Approvals, Approved Construction Permit, Board Approval, Construction Schedule Received, Construction Permit Number, Shop Drawing Approval, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-10-05","06562","2013-10-02","Open","2906901800000","Rettew Associates, Inc.","Stony Battery Road Associates LLC","EAST HEMPFIELD TOWNSHIP"
"112","Blossom Hill Mennonite Church","GPD","350","C","LASA","Closeout","Engineer","Existing Permit #27280
Account #079192
No additional capacity required.
Inspection is required.

Comments by:Melissa Paules 11/9/2006 3:49:30 PM
------------------------------------------------------------
Gave two sets of construction drawings to Albert on 30 Apr 07.
Comments by:Mike Williams 4/30/2007 9:13:37 AM
------------------------------------------------------------",,,"7","4",,"Joseph Gurney","Financial Security Required, Development Review Fee, Final Plan Approval, Planning Module Approved, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-10-13","05518","2010-05-17","Open","3904810200000","D C Gohn Associates, Inc.","Blossom Hill Mennonite Church","MANHEIM TOWNSHIP"
"113","DeGeorge lot @ 1790 State St.","IDU","1","R","N/A","Closeout","Developer","Rec&#039d Application for Connection w/$225 escrow on 10/12/06. Will forward to Fran and then to Scot for review.

Comments by:Melissa Paules 10/16/2006 4:19:38 PM
------------------------------------------------------------
Sent executed HOP Application to Scott Hain @ David Miller Assoc.

Comments by:Melissa Paules 11/7/2006 9:51:58 AM
------------------------------------------------------------",,,"7","3","Steve DeGeorge","None","Reservation Required, Road Opening Permit, Indemnification Needed","2006-10-16","06563","2009-09-22","Open","2202266500000","None","Steve DeGeorge Builder","EAST PETERSBURG BOROUGH"
"114","DeGeorge lot @ 530 Garden Hill Lane","IDU","1","R","N/A","Closeout","Developer","Rec&#039d Application for Connection w/$225 escrow on 10/12/06. Will forward to Fran to deposit $, then to Scot for review.

Comments by:Melissa Paules 10/16/2006 4:20:53 PM
------------------------------------------------------------
Received the connection fee money of $2035. He still needs to submit the road opening permit. I faxed a connection permit application
Comments by:Scot Fertich 11/20/2006 4:10:21 PM
------------------------------------------------------------",,,"7","4","Steve DeGeorge","None","Reservation Required, Road Opening Permit, Indemnification Needed","2006-10-16","06564","2009-09-22","Open","4109745900000","None","Steve DeGeorge Builder","MANOR TOWNSHIP"
"115","Fairway Drive Subdivision","IDU","1","R","LASA","Closeout","Engineer","Rec&#039d application for connection w/$200 escrow.  NOTE: ONLY REC&#039D $200, CK #682,
Will forward to Fran to deposit $ and then to Scot for review.

Comments by:Melissa Paules 10/16/2006 4:18:03 PM
------------------------------------------------------------
Based on phone call from Dave Charles, we will agree to a $500 escrow for plan review. It is a two lot subdivision where one lot will have an existing house and the other half will have one new house.
Comments by:Scot Fertich 11/6/2006 3:34:41 PM
------------------------------------------------------------
Plans were reviewed but we did not receive the reservation of sewer capacity. I will email Melissa Kelly for the reservation amount but hold the comment letter until it is received.
Comments by:Scot Fertich 1/8/2007 9:02:34 AM
------------------------------------------------------------
Rec&#039d $100 Capacity Reserve Fee for 1 IDU on 1/8/07.  PLUS...
Rec&#039d $225 escrow w/xtra Application for Connection. Talked to Charlie Hurst and verified this is for same Fairway Project that Dave Charles submitted Application for Connection previously. We will apply this $225 toward the Plan Review since no plan review escrow has been submitted as of yet.

Comments by:Melissa Paules 1/10/2007 11:10:49 AM
------------------------------------------------------------",,,"7","4","Dave Charles","Melissa Kelly","Reservation Required, Financial Security Required, Development Review Fee, Road Opening Permit, Indemnification Needed, Final Inspection, Escrow Refunded, Project Complete & Closed","2006-10-16","06565","2013-03-26","Open","4104920100000","RGS Associates, Inc.","David L. Charles","MANOR TOWNSHIP"
"116","Heisey, Michael - Apts @ 686 Bean Hill Rd.","IDU","1","R","LASA","Approval","Developer","Rec&#039d application for connection w/$225 escrow. Will forward to Fran to deposit, and then to Scot for review.
Comments by:Melissa Paules 10/20/2006 12:21:20 PM
------------------------------------------------------------
Reviewed submissions of 12/15. Everything is in order. They can request a permit for two idu&#039s.
Comments by:Scot Fertich 12/18/2006 8:48:41 AM
------------------------------------------------------------
Mr. Heisey requested change to ONE idu with a refund of one tapping fee.
Paid but non-connect Permit #31545 was changed to reflect 1 idu and LASA reimbursed Mr. Heisey $2,000.00 tapping fee w/approval at 3/22/07 Board meeting.

Comments by:Melissa Paules 3/13/2007 4:13:01 PM
------------------------------------------------------------",,,"22","4","Michael Heisey","None","Road Opening Permit, Indemnification Needed","2006-10-20","06566","2009-09-22","Open","3401575400000","None","Michael Heisey","LANCASTER TOWNSHIP"
"117","1015 Wheaton Dr. lot","IDU","1","R","LASA","Closeout","Developer","Rec&#039d application for connection w/$225 escrow. Will forward to Fran to deposit, and then to Scot for review.
Comments by:Melissa Paules 10/20/2006 12:31:07 PM
------------------------------------------------------------",,,"7","4","Fabio","None","Road Opening Permit, Indemnification Needed","2006-10-20","06567","2009-09-21","Open","4109460400000","None","C & F Inc.","MANOR TOWNSHIP"
"118","Tobacco Road Condos","IDU","66","R","LASA","Closeout","Engineer","Rec&#039d $1000/Escrow w/2 Plan Sets for review. Will forward to Fran to deposit then to Scot for review and comment.

Comments by:Melissa Paules 8/7/2007 3:30:31 PM
------------------------------------------------------------",,,"14","2","Gary Wilson","Ben Ehrhart","Reservation Required, Financial Security Required, Development Review Fee, Final Plan Approval, Planning Module Approved, Shop Drawing Approval, Escrow Refunded, Project Complete & Closed","2006-10-27","04429","2014-06-05","Open","2906317400000","David Miller Associates, Inc.","Tobacco Road Associates, LP","EAST HEMPFIELD TOWNSHIP"
